# Copyright Illuminating Engineering Society. All rights reserved.
# Visit https://store.ies.org/product-category/lighting-practice/ for the latest copy of ANSI/IES TM-32 
# This is a shared parameter file.
# Do not edit manually.
*META	VERSION	MINVERSION
META	2	1
*GROUP	ID	NAME
GROUP	1	Acoustics - Optional
GROUP	2	Electrical - Required
GROUP	3	Electrical - Optional
GROUP	4	Emergency - Optional
GROUP	5	General - Required
GROUP	6	General - Optional
GROUP	7	Maintenance - Optional
GROUP	8	Mechanical - Required
GROUP	9	Mechanical - Optional
GROUP	10	Mounting - Required
GROUP	11	Photometric - Required
GROUP	12	Photometric - Optional
*PARAM	GUID	NAME	DATATYPE	DATACATEGORY	GROUP	VISIBLE	DESCRIPTION	USERMODIFIABLE	HIDEWHENNOVALUE
PARAM	62f1c928-b7e3-496f-9e2d-26a6de767852	DimmingRange	NUMBER		2	1	Determines which range of dimming is possible for luminaire.	1	0
PARAM	78358258-c1b2-4f15-a488-594d4aa4f1b2	Power Consumption of the Controls	ELECTRICAL_APPARENT_POWER		3	1	Power consumption of the detector with the light switched off and without motion detection / presence detection (idle state).	1	0
PARAM	1807c60b-35e5-4e55-897e-49570dee6b53	Length of Luminous Area	LENGTH		5	1	The length of the luminous box of the luminaire. Also indicated in the photometric file.	1	0
PARAM	6984ae00-a9dd-46d6-ba61-12081d4d95ec	Operation Temperature	ELECTRICAL_TEMPERATURE		9	1	Normal operating temp of item	1	0
PARAM	659abcf0-149d-46a1-82ce-bc28c07bbfb0	Control Interface	TEXT		3	1	Determines which communication or control interface is indicated for the luminaire or sensing device.	1	0
PARAM	40cc9cbd-1ba1-41e6-8707-a9b416fd50b1	Light Source Included	YESNO		3	1	States whether the luminaire is supplied with light source	1	0
PARAM	1e564ae4-c7bf-4ac8-ba32-e0e96ffb7fad	Battery Exchange Possible	YESNO		7	1	0	1	0
PARAM	2b6a2c17-1cf5-44a2-a605-a3acf40c9b3b	Battery Capacity	NUMBER		4	1	 Ampre-hours	1	0
PARAM	0acd978b-9495-4fe4-a8c7-66bacc6243a2	Access Clearance Bottom	LENGTH		7	1	Access required for maintenance of this item	1	0
PARAM	23460896-bdd0-43e7-85cf-85cb9927bcd6	EPD URL	URL		6	1	Environmental product declarations web URL	1	0
PARAM	7bcae613-49d5-40a3-a27e-8df1945ce73e	Voltage Nominal	ELECTRICAL_POTENTIAL		2	1	Nominal voltage is not the precise operating or rated voltage.	1	0
PARAM	9704f476-596b-43e9-919a-42f7881c8921	Housing Material	MATERIAL		6	1	Material of luminaire housing	1	0
PARAM	6acbe6cd-75fd-4855-95ae-ace53ab87086	Nominal Frequency	ELECTRICAL_FREQUENCY		3	1	Nominal frequency at which the product operates normally as specified by the supplier or manufacturer.	1	0
PARAM	1ba13498-6fa6-44f8-989e-dff350b825ce	LED Module Replaceable	YESNO		2	1	led module replaceable	1	0
PARAM	3258ce83-85d5-40e9-998e-b73fee7e5d87	Battery Voltage	ELECTRICAL_POTENTIAL		4	1	0	1	0
PARAM	838b9f89-c9d5-44b3-883c-52bc516b7afb	Temperature on Light Aperture	ELECTRICAL_TEMPERATURE		9	1	Average temperature of light emitting surface of a luminaire.	1	0
PARAM	120b879b-b996-457d-ba4e-5684db29e113	Cutting out Width	LENGTH		9	1	Width of the cut-out hole (for recessed or flush mount).	1	0
PARAM	4d4881f3-5a77-41eb-a140-e03a297c2351	Dimmable	YESNO		2	1	Determines whether the luminaire is dimmable.	1	0
PARAM	8822b540-105f-47d1-847d-e3df372faa1e	Height	LENGTH		5	1	Height of the housing of the luminaire or sensing device. Corresponds to z-axis. This definition is regardless of orientation of luminaires.	1	0
PARAM	ccfc3669-0bf6-498c-b578-8fe0cbab571f	With Sensor	YESNO		3	1	Determines whether the luminaire contains an integrated sensing device.	1	0
PARAM	c9846d7e-34ca-4f59-94ab-3452803f997e	Rated Input Power	ELECTRICAL_APPARENT_POWER		2	1	Input power consumed by the light source(s), control gear and control circuit in or associated with a luminaire including any standby power when the luminaire is turned on. Measured in volt-amperes (VA).	1	0
PARAM	48ea3b3c-7921-4716-a6ab-cbb9c4d5e5e1	Cutting out Diameter	LENGTH		9	1	Diameter of the cut-out hole (for recessed or flush mount).	1	0
PARAM	65afcc0d-14a2-4347-8749-259228986918	Radiation Power	ELECTRICAL_POWER		3	1	radiation power	1	0
PARAM	cc2e56cc-6338-45c3-a779-55609a49d293	Access Clearance Top	LENGTH		7	1	Access required for maintenance of this item.	1	0
PARAM	04ac16ce-15d8-4607-a43a-1fece8f1cc51	Emergency Lighting Capable	YESNO		4	1	Indicates whether emergency lighting is integral.	1	0
PARAM	9597d401-cfd4-4394-af6f-d84565b83b38	Manufacturer	TEXT		5	1	Manufacturer of product	1	0
PARAM	dd4ada0b-37d6-4961-aa1f-b808d8e7b7ed	Walk Over Rated	YESNO		9	1	0	1	0
PARAM	3454a7f1-05ce-45fd-ad23-b64dad85f7d2	With Switch	YESNO		3	1	Determines whether the luminaire has a switch included.	1	0
PARAM	b4d75e0a-7fd0-4db4-9abd-42a1e9a3bcfc	Cutting out Length	LENGTH		9	1	Length of the cut-out hole (for recessed or flush mount).	1	0
PARAM	955fab94-c73e-4f1e-95f0-e29ff8959660	Control Feature	TEXT		3	1	Description of Control Elements and Features.	1	0
PARAM	0133418e-8d3e-48bf-9f9a-8bb902b5cdfa	Halogen-Free	YESNO		9	1	States whether the product is halogen-free according IEC 61249-2-21:2004.	1	0
PARAM	61767f07-f194-447c-b6fb-66f9285a7d39	Mounting Type	TEXT		10	1	Type of mounting used for the luminaire or sensing device.	1	0
PARAM	0416214c-cbb5-4dce-85bc-c1d51a24b466	Melanopic Factor	NUMBER		12	1	Melanopic factor of luminous radiation daylight equivalent based on CIE standard illuminant D65. See also CEN/TR 16791:2017.	1	0
PARAM	0e148639-ed67-4f43-9d8a-50abe7e68627	Presence Detection Area 	TEXT		12	1	Detection area for minor movement for the standard mounting height. For round area: the angular range from 1?? to 360?? and radius [m]. For rectangular area: L x W [m]	1	0
PARAM	1a808da0-3e8d-4e01-82e5-b299efd4e129	BUGRating	TEXT		12	1	The BUG classification (Backlight, Uplight, and Glare) according to IDA/IESNA evaluates the light output of outdoor lights regarding to glare, light pollution and light trespass. (standard ANSI/IES TM-15-20)	1	0
PARAM	2e06e479-3d4c-4cdd-a310-246664cb2750	Detection Area Adjustable	TEXT		12	1	The type of the adjustment of the detection area.	1	0
PARAM	3c5c337f-0fbc-4e09-80e8-b10840c712b6	Detection Range Adjustable	TEXT		12	1	The method of adjustment of detection range.	1	0
PARAM	4aab58cd-b2fa-4b44-b302-c9688130b78f	Color Controllable	YESNO		12	1	States whether the color is controllable	1	0
PARAM	5d673f57-5625-4eec-86d1-232bf852e908	Measurement Method 	TEXT		12	1	The measurement of the presence detection area was done according to standard	1	0
PARAM	6892853b-e608-4230-a4cf-5ec2ebc73c1f	Rated Chromaticity Coordinate Values	TEXT		12	1	Chromaticity coordinates ratio of a set of 3 tristimulus values to their sum according ISO 11664-1:2007. 2 values are sufficient to define chromaticity.  CIE colorimetric systems represent these with the symbols x, y, z and x10, y10, z10.	1	0
PARAM	6ba03f1f-d847-468e-b4f3-c4c0289d868c	Amount of Addresses	INTEGER		12	1	Determines the amount of addresses of the product.	1	0
PARAM	6caf5abd-dd67-4ddb-9e37-09177f0e31b9	Type of Detector	TEXT		12	1	The type of detection possible for sensing device.	1	0
PARAM	6f941950-0e06-45de-b3a0-fa624cd2f128	Detection Area Tangential Movement	TEXT		12	1	Detection area for walking for the standard mounting height. For round area: the angular range from 1?? to 360?? and radius [m]. For rectangular area: L x W [m].	1	0
PARAM	73b02cc6-c8d8-471c-85dd-d077663e4f95	Detection Method	TEXT		12	1	Applied technology for detection	1	0
PARAM	97e6615f-6252-4ed9-8073-4e10ff5b27b9	Flicker	TEXT		12	1	Impression of unsteadiness of visual sensation induced by a light stimulus whose luminance or spectral distribution fluctuates with time.	1	0
PARAM	9cfefef9-0589-486e-8f2a-29fa65cbf4f7	Emergency Luminous Flux	ELECTRICAL_LUMINOUS_FLUX		12	1	Lumen output in emergency mode.	1	0
PARAM	9eb65ed2-2fc4-4512-9788-46a0bf05be3f	Initial Color Tolerance in step McAdam ellipses (SCDM)     	NUMBER		12	1	Initial Color Tolerance in step McAdam ellipses (SDCM).	1	0
PARAM	b0e93192-8f01-47de-bf35-7f9991c6fc02	Detector Characteristics	TEXT		12	1	Shape of the detection area.	1	0
PARAM	bc9f8c99-0464-4cde-9dd4-adf886d6ce06	Cut-off Angle	ANGLE		12	1	Angle, measured up from nadir, between the vertical axis and the first line of sight at which the light sources and the surfaces of high luminance are not visible. If the beam is not rotation symmetrical the photometric plane needs to specified.	1	0
PARAM	be40e1a6-8c91-4342-a071-64b7662a571c	Colour Temperature Controllable	YESNO		12	1	States if the colour temperature is controllable.	1	0
PARAM	c04bb4e6-2ad5-4eaf-aad6-370548d08d4d	Detection Area Radial Movement	TEXT		12	1	0	1	0
PARAM	faa77e0b-ce07-416b-970e-f51f128b1b30	Detection Area	ANGLE		12	1	Defines the detection angle or the detection area for the standard mounting height. For round area: the angular range from 1?? to 360?? and radius [m]. For rectangular area: L x W [m].	1	0
PARAM	e3d726e7-75e8-4753-8962-cf82a6b1a7d9	Photobiology Class (1-3)	INTEGER		12	1	The required measurement methods and the calculation methodology are set in the harmonized standard EN 62471:2009, Photobiological safety of lamps and lamp systems. Sources are classified based on hazard of incoherent optical radiation.	1	0
